States,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,95.0,108.0,123.0,138.0,164.0,197.0,218.0,218.0,328.0,413.0,525.0,646.0,777.0,1159,1838,2417,3240,4257,4955,5752,6620.0,7738.0,8966.0,10402.0,11736.0,12500.0,13837.0,15202.0,16790.0,18941.0,20974.0,22860.0,25475.0,26867.0,28164.0,29918.0,32181.0
Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,16.0,25.0,33.0,53.0,65.0,83.0,334.0,552.0,788.0,1035.0,1329.0,1793,2296,2845,3634,4650,5488,6498,7615.0,9315.0,10791.0,12744.0,14225.0,15718.0,17221.0,18970.0,20346.0,21504.0,22434.0,23605.0,24244.0,25635.0,27001.0,28059.0,28809.0
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,9.0,14.0,21.0,35.0,54.0,60.0,77.0,89.0,115.0,138.0,167.0,234.0,261,286,344,396,441,503,576,629.0,689.0,742.0,788.0,865.0,935.0,986.0,1069.0,1154.0,1240.0,1336.0,1427.0,1621.0,1621.0,1695.0,1809.0,1809.0
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,6.0,10.0,13.0,21.0,34.0,50.0,80.0,140.0,207.0,249.0,320,377,485,579,663,759,847,937.0,1073.0,1177.0,1358.0,1455.0,1638.0,1738.0,1915.0,2003.0,2260.0,2469.0,2642.0,2781.0,2942.0,3087.0,3360.0,3624.0
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,4.0,5.0,6.0,11.0,18.0,31.0,53.0,74.0,87.0,187.0,257,354,520,666,836,915,1051,1357.0,1613.0,1857.0,1864.0,2310.0,2347.0,2736.0,3130.0,3209.0,3432.0,3897.0,4108.0,4269.0,4515.0,4746.0,4791.0,5174.0
Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,5.0,7.0,7.0,9.0,11.0,11.0,15.0,21.0,34.0,34.0,51,65,90,109,129,154,171,198.0,208.0,241.0,243.0,265.0,286.0,299.0,319.0,332.0,354.0,365.0,377.0,387.0,394.0,399.0,404.0,415.0
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,10.0,13.0,14.0,17.0,18.0,21.0,24.0,29.0,37.0,38.0,51.0,51.0,66,71,74,82,96,108,145,172.0,210.0,246.0,279.0,321.0,364.0,417.0,447.0,519.0,568.0,635.0,699.0,791.0,814.0,897.0,901.0,952.0
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,14.0,17.0,21.0,24.0,45.0,56.0,55.0,95.0,114.0,161.0,190.0,245.0,278,323,420,536,626,920,1012,1114.0,1279.0,1463.0,1514.0,1742.0,1855.0,1953.0,2124.0,2259.0,2456.0,2722.0,2702.0,2836.0,2990.0,3134.0,3211.0,3214.0
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,6.0,6.0,7.0,13.0,17.0,26.0,26.0,44.0,44.0,55.0,74.0,101.0,101,108,137,158,187,214,314,357.0,367.0,316.0,479.0,540.0,621.0,715.0,715.0,747.0,819.0,819.0,885.0,929.0,985.0,922.0,1139.0,1139.0
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,23.0,29.0,29.0,69.0,98.0,178.0,267.0,267.0,742.0,890.0,1327.0,1914.0,2844.0,3675,4402,6876,8825,11124,13386,16636,18696.0,22255.0,25590.0,29895.0,34124.0,37505.0,41090.0,44416.0,47437.0,51027.0,54588.0,58151.0,61850.0,64584.0,68824.0,71030.0,75317.0
