States,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4,6,10,10,10,15,15,26.0,31.0,38.0,43.0,46.0,46.0,46.0,72.0,72.0,81.0,90.0,102.0,112.0,114.0,126.0,131.0,137.0,142.0,151.0,158.0,159.0,163.0,172.0,195.0,197.0,205.0,206.0,206.0,219.0,230.0,243.0,246.0
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,2,2,3,3.0,3.0,3.0,5.0,7.0,9.0,9.0,9.0,13.0,21.0,21.0,22.0,23.0,23.0,25.0,32.0,32.0,37.0,38.0,38.0,42.0,42.0,48.0,51.0,53.0,53.0,60.0,60.0,60.0,60.0,72.0,81.0
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,9.0,11.0,16.0,20.0,27.0,44,62,81,108,140,161,198,267.0,355.0,537.0,646.0,846.0,917.0,1003.0,1232.0,1504.0,1709.0,1932.0,2183.0,2350.0,2443.0,2805.0,3156.0,3518.0,3840.0,4070.0,4362.0,4496.0,4753.0,5150.0,5426.0,5683.0,5914.0,5938.0,6044.0,6442.0,6771.0,7228.0,7538.0
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,2,2,4.0,5.0,6.0,10.0,10.0,12.0,12.0,13.0,13.0,16.0,17.0,19.0,26.0,26.0,31.0,36.0,36.0,44.0,53.0,55.0,58.0,58.0,71.0,78.0,84.0,93.0,99.0,99.0,105.0,112.0,123.0,131.0
New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,3.0,10.0,13.0,16.0,34.0,42.0,60.0,117.0,158.0,210,285,385,527,728,965,1218,1550.0,1941.0,2373.0,2935.0,3565.0,4159.0,4698.0,5489.0,6268.0,7067.0,7867.0,8627.0,9385.0,10058.0,10842.0,11617.0,14832.0,17131.0,17671.0,18298.0,18611.0,19104.0,19413.0,20973.0,21411.0,22009.0,22269.0,22668.0,22912.0,23477.0,23587.0,24039.0
North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,4,5,7,7,12.0,14.0,21.0,27.0,34.0,38.0,45.0,53.0,66.0,76.0,83.0,89.0,89.0,94.0,112.0,130.0,150.0,177.0,187.0,200.0,218.0,245.0,265.0,281.0,294.0,305.0,324.0,340.0,363.0,382.0,406.0,419.0
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,13.0,14.0,15.0,15.0,16.0,17.0,19.0,19.0,19.0,19.0,23.0
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,8,11,15,19,25,29,40,55.0,65.0,81.0,91.0,102.0,119.0,142.0,167.0,193.0,213.0,231.0,247.0,253.0,274.0,324.0,362.0,407.0,418.0,451.0,471.0,509.0,557.0,610.0,656.0,690.0,711.0,728.0,753.0,799.0,937.0,976.0,1003.0
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3,5,7,8,15,16,16,23.0,30.0,34.0,38.0,42.0,46.0,51.0,67.0,79.0,80.0,88.0,94.0,96.0,99.0,108.0,123.0,131.0,136.0,136.0,140.0,143.0,164.0,170.0,179.0,188.0,194.0,195.0,197.0,207.0,214.0,222.0,230.0
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,5.0,8,10,11,12,13,13,16,18.0,19.0,21.0,22.0,22.0,27.0,27.0,29.0,33.0,44.0,44.0,48.0,52.0,53.0,55.0,58.0,64.0,70.0,72.0,74.0,75.0,78.0,78.0,83.0,86.0,87.0,92.0,92.0,99.0,101.0,103.0,104.0
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,8,15,18,22,34,41,50,63.0,74.0,90.0,102.0,136.0,151.0,179.0,247.0,318.0,345.0,418.0,503.0,557.0,589.0,691.0,779.0,841.0,921.0,1042.0,1276.0,1348.0,1614.0,1673.0,1724.0,1747.0,1793.0,1816.0,1886.0,2046.0,2373.0,2475.0,2635.0
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2,2,2,3,3,3,6,8.0,11.0,12.0,15.0,18.0,20.0,21.0,23.0,24.0,33.0,39.0,42.0,44.0,45.0,45.0,51.0,56.0,58.0,60.0,62.0,63.0,64.0,63.0,69.0,77.0,83.0,84.0,84.0,86.0,86.0,92.0,94.0
Recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,3,4,8.0,10.0,12.0,14.0,17.0,25.0,27.0,30.0,35.0,43.0,43.0,56.0,63.0,63.0,80.0,80.0,87.0,118.0,137.0,150.0,155.0,171.0,181.0,189.0,202.0,215.0,226.0,233.0,239.0,251.0,266.0,279.0
South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5,7,9,13,15,16,18,22.0,26.0,31.0,34.0,40.0,44.0,48.0,51.0,51.0,67.0,72.0,80.0,82.0,82.0,97.0,106.0,111.0,116.0,119.0,120.0,123.0,124.0,140.0,150.0,157.0,166.0,174.0,177.0,192.0,231.0,244.0,256.0
South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,13.0,17.0,21.0
Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,3,3,6,7,8,14,23.0,24.0,36.0,41.0,50.0,53.0,65.0,72.0,80.0,94.0,98.0,106.0,106.0,109.0,124.0,124.0,136.0,141.0,142.0,148.0,152.0,157.0,157.0,171.0,169.0,177.0,181.0,184.0,188.0,195.0,199.0,204.0
Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,7.0,9.0,12,15,21,26,30,37,45,54.0,66.0,77.0,100.0,116.0,136.0,150.0,160.0,189.0,210.0,238.0,266.0,283.0,305.0,342.0,375.0,414.0,451.0,476.0,490.0,507.0,533.0,556.0,604.0,624.0,638.0,651.0,666.0,719.0,754.0,812.0,840.0
Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,2,4,5.0,5.0,7.0,7.0,8.0,8.0,13.0,13.0,13.0,13.0,17.0,18.0,18.0,13.0,18.0,20.0,20.0,23.0,25.0,27.0,28.0,32.0,32.0,35.0,39.0,41.0,41.0,41.0,41.0,45.0,46.0,46.0
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,7,8,9,10,12,12,12,13.0,16.0,17.0,17.0,20.0,22.0,23.0,23.0,23.0,23.0,24.0,25.0,27.0,28.0,29.0,29.0,33.0,35.0,38.0,38.0,38.0,40.0,40.0,43.0,44.0,46.0,46.0,47.0,47.0,47.0,49.0,50.0
Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,9,9,10,10,13,20,15,27.0,34.0,41.0,46.0,52.0,52.0,66.0,66.0,66.0,109.0,121.0,130.0,141.0,149.0,154.0,195.0,208.0,231.0,258.0,277.0,300.0,324.0,349.0,373.0,411.0,437.0,449.0,460.0,492.0,522.0,552.0,581.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,29.0,31.0,37.0,37.0,40.0,48.0,55.0,55.0,74.0,83.0,94.0,97.0,109.0,116,133,150,157,188,198,205,225.0,234.0,271.0,291.0,315.0,336.0,381.0,400.0,426.0,456.0,483.0,495.0,506.0,513.0,530.0,552.0,579.0,603.0,613.0,636.0,643.0,664.0,686.0,711.0,722.0,737.0,749.0,764.0,786.0,801.0,814.0,824.0
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,8.0,9.0,10.0,12.0,16.0,16.0,18.0,24.0,26.0,27.0,31.0,32.0,32.0,34.0,34.0,38.0,38.0,41.0,46.0
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,5,7,10,14,17,18,20,25.0,27.0,38.0,51.0,54.0,74.0,78.0,92.0,100.0,111.0,128.0,137.0,144.0,154.0,170.0,183.0,197.0,206.0,212.0,220.0,230.0,244.0,248.0,258.0,263.0,266.0,272.0,281.0,300.0,308.0,316.0,327.0
